date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking_date,home_rank,home_ranking_points,away_ranking_date,away_rank,away_ranking_points,rank_diff,points_diff,home_win,draw
2021-06-08,Curaçao,Guatemala,0,0,FIFA World Cup qualification,Willemstad,Curaçao,False,,,,2021-05-27,127,1129.3,,,0,1
2021-06-08,Czech Republic,Albania,3,1,Friendly,Prague,Czech Republic,False,2021-05-27,40,1458.81,2021-05-27,66,1362.09,26,96.72000000000003,1,0
2021-06-08,Ecuador,Peru,1,2,FIFA World Cup qualification,Quito,Ecuador,False,2021-05-27,53,1413.01,2021-05-27,27,1511.88,-26,-98.87000000000012,0,0
2021-06-08,France,Bulgaria,3,0,Friendly,Paris,France,False,2021-05-27,2,1757.3,2021-05-27,71,1339.03,69,418.27,1,0
2021-06-08,Haiti,Nicaragua,1,0,FIFA World Cup qualification,Port-au-Prince,Haiti,False,2021-05-27,83,1290.62,2021-05-27,147,1060.51,64,230.1099999999999,1,0
2021-06-08,Morocco,Ghana,1,0,Friendly,Rabat,Morocco,False,2021-05-27,34,1479.32,2021-05-27,49,1425.26,15,54.059999999999945,1,0
2021-06-08,Panama,Dominican Republic,3,0,FIFA World Cup qualification,Panama City,Panama,False,2021-05-27,78.0,1321.97,2021-05-27,156,1036.22,78.0,285.75,1,0
2021-06-08,Paraguay,Brazil,0,2,FIFA World Cup qualification,Asunción,Paraguay,False,2021-05-27,35,1476.02,2021-05-27,3,1742.65,-32,-266.6300000000001,0,0
2021-06-08,Senegal,Cape Verde,2,0,Friendly,Thiès,Senegal,False,2021-05-27,22,1542.45,,,,,,1,0
2021-06-08,Spain,Lithuania,4,0,Friendly,Leganés,Spain,False,2021-05-27,6,1648.13,2021-05-27,134,1102.84,128,545.2900000000002,1,0
